Weight	Nested	Procedure	Level	BranchSide	MemoryExpression	TaskExpression	TaskAns	DiffPosi1	WithinCorrect1	DiffPosi2	WithinCorrect2	ExchSymb	Trigger	RandPeriod
1		stimproc	0	B	3+))4+(1-(2	2+))4+(1-(3	1	1	0	11	0	1	1	5000
1		stimproc	1	R	)+3(+)4-2(1	)+3(+)2-4(1	1	7	1	9	1	1	3	3429
1		stimproc	2	R	3+)1+(4-2)(	2+)1+(4-3)(	1	1	0	9	1	1	5	4571
1		stimproc	3	R	3+(1+(4-2))	3+(4+(1-2))	1	4	1	7	1	1	7	3143
1		stimproc	0	B	2))+1(+3(4-	2))+1(+4(3-	1	8	0	10	0	1	1	2333
1		stimproc	1	L	2)4+1((3+)-	1)4+2((3+)-	1	1	0	5	1	1	2	4524
1		stimproc	2	L	)(4+1)+2(3-	)(4+3)+2(1-	1	5	1	10	0	1	4	3619
1		stimproc	3	L	((4+1)+2)-3	((3+1)+2)-4	1	3	1	11	1	1	6	2667
1		stimproc	0	B	1+)3+-2(()4	1+)4+-2(()3	1	4	0	11	0	1	1	3286
1		stimproc	1	R	+4+())1-2(3	+4+())2-1(3	1	7	1	9	1	1	3	2762
1		stimproc	2	R	+4)3+(1-2)(	+4)2+(1-3)(	1	4	1	9	1	1	5	4095
1		stimproc	3	R	4+(3+(1-2))	4+(2+(1-3))	1	4	1	9	1	1	7	2524
1		stimproc	0	B	3)4)(+-2+(1	1)4)(+-2+(3	1	1	0	11	0	1	1	4619
1		stimproc	1	L	1)4+3()+-2(	1)2+3()+-4(	1	3	1	10	0	1	2	2476
1		stimproc	2	L	)(4+3)+1(2-	)(1+3)+4(2-	1	3	1	8	1	1	4	2190
1		stimproc	3	L	((4+3)+1)-2	((4+3)+2)-1	1	8	1	11	1	1	6	3095
1		stimproc	0	B	)3)+1-(2(4+	)3)+1+(2(4-	1	6	0	11	0	2	1	2000
1		stimproc	1	L	4)1+3(-+2()	4)1-3(++2()	1	7	0	4	1	2	2	4143
1		stimproc	2	L	)(1+3)-2(4+	)(1-3)+2(4+	1	7	1	4	1	2	4	3952
1		stimproc	3	L	((1+3)-2)+4	((1-3)+2)+4	1	7	1	4	1	2	6	2429
1		stimproc	0	B	()4)2+-3(+1	()4)2-+3(+1	1	7	0	6	0	2	1	2905
1		stimproc	1	R	-2)(+)1+3(4	+2)(+)1-3(4	1	1	0	8	1	2	3	4857
1		stimproc	2	R	-4)2+(1+3)(	+4)2-(1+3)(	1	1	0	5	1	2	5	3333
1		stimproc	3	R	4-(2+(1+3))	4+(2-(1+3))	1	2	1	5	1	2	7	4048
1		stimproc	0	B	(4+)3+-1()2	(4+)3-+1()2	1	7	0	6	0	2	1	3667
1		stimproc	1	L	3)1+2()(4-+	3)1+2()(4+-	1	10	0	11	0	2	2	3000
1		stimproc	2	L	)(1+2)+3(4-	)(1+2)-3(4+	1	11	0	7	1	2	4	3714
1		stimproc	3	L	((1+2)+3)-4	((1-2)+3)+4	1	10	1	4	1	2	6	4714
1		stimproc	0	B	1)4+)2((+3-	1)4-)2((+3+	1	11	0	4	0	2	1	2048
1		stimproc	1	R	)-3(+)2+1(4	)+3(+)2-1(4	1	2	0	8	1	2	3	4429
1		stimproc	2	R	4+)3-(2+1)(	4-)3+(2+1)(	1	5	1	2	0	2	5	4810
1		stimproc	3	R	4+(3-(2+1))	4-(3+(2+1))	1	5	1	2	1	2	7	4905
1		stimproc	0	B	)-2+)1(4(+3	)-2+)1(4(+3	2	-1	-1	-1	-1	-1	1	4238
1		stimproc	1	L	2)4-1()+(+3	2)4-1()+(+3	2	-1	-1	-1	-1	-1	2	3571
1		stimproc	2	L	)(4-1)+3(2+	)(4-1)+3(2+	2	-1	-1	-1	-1	-1	4	4667
1		stimproc	3	L	((4-1)+3)+2	((4-1)+3)+2	2	-1	-1	-1	-1	-1	6	2381
1		stimproc	0	B	4))1(3(+-+2	4))1(3(+-+2	2	-1	-1	-1	-1	-1	1	3190
1		stimproc	1	L	2)1+4((-)+3	2)1+4((-)+3	2	-1	-1	-1	-1	-1	2	2238
1		stimproc	2	L	)(1+4)+2(-3	)(1+4)+2(-3	2	-1	-1	-1	-1	-1	4	3905
1		stimproc	3	L	((1+4)+2)-3	((1+4)+2)-3	2	-1	-1	-1	-1	-1	6	4190
1		stimproc	0	B	+3)4)(2+-1(	+3)4)(2+-1(	2	-1	-1	-1	-1	-1	1	2095
1		stimproc	1	R	+-4())3+1(2	+-4())3+1(2	2	-1	-1	-1	-1	-1	3	4952
1		stimproc	2	R	-4)2+(3+1)(	-4)2+(3+1)(	2	-1	-1	-1	-1	-1	5	2952
1		stimproc	3	R	4-(2+(3+1))	4-(2+(3+1))	2	-1	-1	-1	-1	-1	7	3381
1		stimproc	0	B	4+)3+-()2(1	4+)3+-()2(1	2	-1	-1	-1	-1	-1	1	4286
1		stimproc	1	R	3-(+))4+1(2	3-(+))4+1(2	2	-1	-1	-1	-1	-1	3	2571
1		stimproc	2	R	2+)3-(4+1)(	2+)3-(4+1)(	2	-1	-1	-1	-1	-1	5	3524
1		stimproc	3	R	2+(3-(4+1))	2+(3-(4+1))	2	-1	-1	-1	-1	-1	7	2714
1		stimproc	0	B	)+3)+-1(2(4	)+3)+-1(2(4	2	-1	-1	-1	-1	-1	1	2857
1		stimproc	1	L	))4-2(+1(3+	))4-2(+1(3+	2	-1	-1	-1	-1	-1	2	3048
1		stimproc	2	L	)(4-2)+3(1+	)(4-2)+3(1+	2	-1	-1	-1	-1	-1	4	3810
1		stimproc	3	L	((4-2)+3)+1	((4-2)+3)+1	2	-1	-1	-1	-1	-1	6	2143
1		stimproc	0	B	+4()1+)3-(2	+4()1+)3-(2	2	-1	-1	-1	-1	-1	1	4762
1		stimproc	1	R	-(+)1)4+3(2	-(+)1)4+3(2	2	-1	-1	-1	-1	-1	3	3238
1		stimproc	2	R	+1)2-(4+3)(	+1)2-(4+3)(	2	-1	-1	-1	-1	-1	5	4000
1		stimproc	3	R	1+(2-(4+3))	1+(2-(4+3))	2	-1	-1	-1	-1	-1	7	3476
1		stimproc	0	B	)2-+3)(4+(1	)2-+3)(4+(1	2	-1	-1	-1	-1	-1	1	3857
1		stimproc	1	L	1)2-4(+(3+)	1)2-4(+(3+)	2	-1	-1	-1	-1	-1	2	4381
1		stimproc	2	L	)(2-4)+1(3+	)(2-4)+1(3+	2	-1	-1	-1	-1	-1	4	4476
1		stimproc	3	L	((2-4)+1)+3	((2-4)+1)+3	2	-1	-1	-1	-1	-1	6	2286
1		stimproc	0	B	)2)+3+-1((4	)2)+3+-1((4	2	-1	-1	-1	-1	-1	1	2810
1		stimproc	1	R	(+1-))4+3(2	(+1-))4+3(2	2	-1	-1	-1	-1	-1	3	3762
1		stimproc	2	R	+2)1-(4+3)(	+2)1-(4+3)(	2	-1	-1	-1	-1	-1	5	2619
1		stimproc	3	R	2+(1-(4+3))	2+(1-(4+3))	2	-1	-1	-1	-1	-1	7	4333
