Weight	Nested	Procedure	Level	BranchSide	MemoryExpression	TaskExpression	TaskAns	DiffPosi1	WithinCorrect1	DiffPosi2	WithinCorrect2	ExchSymb	Trigger	RandPeriod
1		stimproc	0	B	2+)3)-(+4(1	2+)4)-(+3(1	1	4	0	9	0	1	1	4238
1		stimproc	1	R	-(2+))3+4(1	-(2+))3+1(4	1	9	1	11	0	1	3	3714
1		stimproc	2	R	-1)2+(3+4)(	-1)4+(3+2)(	1	4	1	9	1	1	5	3810
1		stimproc	3	R	1-(2+(3+4))	4-(2+(3+1))	1	1	1	9	1	1	7	3048
1		stimproc	0	B	)2)3(4(+-1+	)2)3(1(+-4+	1	6	0	10	0	1	1	4143
1		stimproc	1	L	1)2+3(+)4-(	1)4+3(+)2-(	1	3	1	9	0	1	2	4190
1		stimproc	2	L	)(2+3)-1(+4	)(2+1)-3(+4	1	5	1	8	1	1	4	4571
1		stimproc	3	L	((2+3)-1)+4	((2+4)-1)+3	1	5	1	11	1	1	6	4524
1		stimproc	0	B	2+-3))+4((1	3+-2))+4((1	1	1	0	4	0	1	1	2571
1		stimproc	1	L	3)1+4()2(+-	3)2+4()1(+-	1	3	1	8	0	1	2	4714
1		stimproc	2	L	)(1+4)-2(+3	)(2+4)-1(+3	1	3	1	8	1	1	4	4857
1		stimproc	3	L	((1+4)-2)+3	((1+4)-3)+2	1	8	1	11	1	1	6	4381
1		stimproc	0	B	3(-)2+)+4(1	3(-)2+)+1(4	1	9	0	11	0	1	1	3286
1		stimproc	1	R	2-+)()3+1(4	2-+)()4+1(3	1	7	1	11	0	1	3	2381
1		stimproc	2	R	2-)4+(3+1)(	3-)4+(2+1)(	1	1	0	7	1	1	5	2333
1		stimproc	3	R	2-(4+(3+1))	2-(3+(4+1))	1	4	1	7	1	1	7	3381
1		stimproc	0	B	+))4(3-+1(2	-))4(3++1(2	1	7	0	1	0	2	1	4619
1		stimproc	1	L	))2-3(1+(4+	))2+3(1-(4+	1	4	1	8	0	2	2	2476
1		stimproc	2	L	)(2-3)+4(+1	)(2+3)+4(-1	1	4	1	10	0	2	4	2429
1		stimproc	3	L	((2-3)+4)+1	((2+3)+4)-1	1	4	1	10	1	2	6	4762
1		stimproc	0	B	3)2(-+4+)(1	3)2(+-4+)(1	1	5	0	6	0	2	1	4810
1		stimproc	1	R	(1-+3)2+4()	(1+-3)2+4()	1	3	0	4	0	2	3	4000
1		stimproc	2	R	-1)3+(2+4)(	+1)3-(2+4)(	1	1	0	5	1	2	5	2238
1		stimproc	3	R	1-(3+(2+4))	1+(3+(2-4))	1	2	1	8	1	2	7	2000
1		stimproc	0	B	1-+)3+)(2(4	1++)3-)(2(4	1	2	0	6	0	2	1	2952
1		stimproc	1	L	3)1-2(+()+4	3)1+2(+()-4	1	4	1	10	0	2	2	3238
1		stimproc	2	L	)(1-2)+3(+4	)(1+2)-3(+4	1	4	1	7	1	2	4	3095
1		stimproc	3	L	((1-2)+3)+4	((1+2)+3)-4	1	4	1	10	1	2	6	3429
1		stimproc	0	B	2)3+-(+1()4	2)3++(-1()4	1	5	0	7	0	2	1	3905
1		stimproc	1	R	4()1+)3+2(-	4()1-)3+2(+	1	11	0	5	0	2	3	3190
1		stimproc	2	R	1-)4+(3+2)(	1+)4+(3-2)(	1	2	0	8	1	2	5	2762
1		stimproc	3	R	1-(4+(3+2))	1+(4+(3-2))	1	2	1	8	1	2	7	3524
1		stimproc	0	B	1+-2)4(+()3	1+-2)4(+()3	2	-1	-1	-1	-1	-1	1	3762
1		stimproc	1	L	2)3+4()(1+-	2)3+4()(1+-	2	-1	-1	-1	-1	-1	2	2905
