Weight	Nested	Procedure	Level	BranchSide	MemoryExpression	TaskExpression	TaskAns	DiffPosi1	WithinCorrect1	DiffPosi2	WithinCorrect2	ExchSymb	Trigger	RandPeriod
1		stimproc	2	L	)(3+4)-2(+1	)(3+4)-2(+1	2	-1	-1	-1	-1	-1	4	4048
1		stimproc	3	L	((3+4)-2)+1	((3+4)-2)+1	2	-1	-1	-1	-1	-1	6	3619
1		stimproc	0	B	1()2-+4(+)3	1()2-+4(+)3	2	-1	-1	-1	-1	-1	1	2524
1		stimproc	1	R	+)(4-)3+2(1	+)(4-)3+2(1	2	-1	-1	-1	-1	-1	3	4333
1		stimproc	2	R	+4)1-(3+2)(	+4)1-(3+2)(	2	-1	-1	-1	-1	-1	5	3571
1		stimproc	3	R	4+(1-(3+2))	4+(1-(3+2))	2	-1	-1	-1	-1	-1	7	4476
1		stimproc	0	B	2-)+1)(4(3+	2-)+1)(4(3+	2	-1	-1	-1	-1	-1	1	2810
1		stimproc	1	L	2)1+4(+-)(3	2)1+4(+-)(3	2	-1	-1	-1	-1	-1	2	2048
1		stimproc	2	L	)(1+4)-3(+2	)(1+4)-3(+2	2	-1	-1	-1	-1	-1	4	4286
1		stimproc	3	L	((1+4)-3)+2	((1+4)-3)+2	2	-1	-1	-1	-1	-1	6	2286
1		stimproc	0	B	(1+-3)4)+(2	(1+-3)4)+(2	2	-1	-1	-1	-1	-1	1	4952
1		stimproc	1	R	)-4(+)3+1(2	)-4(+)3+1(2	2	-1	-1	-1	-1	-1	3	3667
1		stimproc	2	R	4+)2-(3+1)(	4+)2-(3+1)(	2	-1	-1	-1	-1	-1	5	2667
1		stimproc	3	R	4+(2-(3+1))	4+(2-(3+1))	2	-1	-1	-1	-1	-1	7	5000
1		stimproc	0	B	3)+)-1(2(+4	3)+)-1(2(+4	2	-1	-1	-1	-1	-1	1	2190
1		stimproc	1	L	2)3+1((+-4)	2)3+1((+-4)	2	-1	-1	-1	-1	-1	2	4667
1		stimproc	2	L	)(3+1)-4(2+	)(3+1)-4(2+	2	-1	-1	-1	-1	-1	4	4429
1		stimproc	3	L	((3+1)-4)+2	((3+1)-4)+2	2	-1	-1	-1	-1	-1	6	2619
1		stimproc	0	B	+1)2)3(-+(4	+1)2)3(-+(4	2	-1	-1	-1	-1	-1	1	3857
1		stimproc	1	R	(-+1))4+3(2	(-+1))4+3(2	2	-1	-1	-1	-1	-1	3	3952
1		stimproc	2	R	-2)1+(4+3)(	-2)1+(4+3)(	2	-1	-1	-1	-1	-1	5	4905
1		stimproc	3	R	2-(1+(4+3))	2-(1+(4+3))	2	-1	-1	-1	-1	-1	7	2857
1		stimproc	0	B	)4)3(2-+1(+	)4)3(2-+1(+	2	-1	-1	-1	-1	-1	1	3476
1		stimproc	1	L	4)2+1(-+3)(	4)2+1(-+3)(	2	-1	-1	-1	-1	-1	2	2095
1		stimproc	2	L	)(2+1)+4(-3	)(2+1)+4(-3	2	-1	-1	-1	-1	-1	4	2143
1		stimproc	3	L	((2+1)+4)-3	((2+1)+4)-3	2	-1	-1	-1	-1	-1	6	3333
1		stimproc	0	B	3-+2))1(4+(	3-+2))1(4+(	2	-1	-1	-1	-1	-1	1	2714
1		stimproc	1	R	1-+4))2+3((	1-+4))2+3((	2	-1	-1	-1	-1	-1	3	4095
1		stimproc	2	R	+4)1-(2+3)(	+4)1-(2+3)(	2	-1	-1	-1	-1	-1	5	3143
1		stimproc	3	R	4+(1-(2+3))	4+(1-(2+3))	2	-1	-1	-1	-1	-1	7	3000
