target,level,branching,detectionTask,onset
+-()b)a+c(d,1,right,0,4032
+c)a-(b+d)(,2,right,0,7946
+)-c)d+(a(b,0,none,0,12033
))d+b(-c-(a,1,left,0,15806
)a)d+(c(-b+,0,none,0,19864
d(+-b)c-a(),1,right,0,23953
((a-d)+c)-b,3,left,0,27976
d)b-a(+-c)(,1,left,0,32096
+b)a--d)c((,0,none,0,35791
c))d+-(b(a+,0,none,0,39926
d-(a+(b+c)),3,right,0,43863
a+(c-(b-@)),3,right,1,48200
))b+c(-a(-d,1,left,0,52034
c)a+)(-d(-b,0,none,0,56138
c-(b+(d+a@),3,right,1,60228
((d-a)+c)@b,3,left,1,64122
b-)d+()a(c-,0,none,0,67907
b(-+a)-c)d(,0,none,0,71816
-)b+c((a+)d,1,left,0,76185
c(+)b(-+d)a,0,none,0,80242
()d+b()c--a,1,left,0,84222
))c+a(d--(b,1,left,0,88232
c)a+d(-)(-b,1,left,0,91828
a)c+-)d+b((,1,right,0,95841
a+)b-(d-c)(,2,right,0,100084
+)b-()c-d(a,1,right,0,104135
a)d-b()+c+(,1,left,0,107778
c)+d-)a-b((,1,right,0,111934
)(a+d)-c(b-,2,left,0,116032
)(c+b)-a(+d,2,left,0,119878
b(-+d)c@)-a,0,none,1,123853
+-b))-d(c(a,0,none,0,127832
)d+)c(-a(b-,0,none,0,132003
d+(a-(c-b)),3,right,0,135914
-c)b+(d-a)(,2,right,0,139827
a-)b+(c+d)(,2,right,0,144177
c())d-+b(a+,0,none,0,147984
((d-a)+b)-c,3,left,0,151895
a)+)-+c(d(b,0,none,0,156250
)(c-a)+b(-d,2,left,0,160199
)(d+c)-a(b-,2,left,0,163983
c)-+b()a(+d,0,none,0,167789
((c+d)-a)+b,3,left,0,172033
)(b+c)-d(+a,2,left,0,175854
b+))a-(c+(d,0,none,0,180240
(-d+))a+b(c,1,right,0,183988
a+)c-(b+d)(,2,right,0,187796
((a+b)-d)+c,3,left,0,191834
)(d-c)+b(a-,2,left,0,196024
d)(@+-)a(+b,0,none,1,199979
c+(d-(a-b)),3,right,0,203918
b)c-a()(++d,1,left,0,207788
+b)c-(d-a)(,2,right,0,212051
)(c+b)-a(+d,2,left,0,215885
b+)c-)-a(d(,0,none,0,219925
b-)a+)(d-(c,0,none,0,223998
a+)c-@b+d)(,2,right,1,227812
c))-a+(b(d+,0,none,0,232121
((b+c)-d)-a,3,left,0,235960
((c+b)-a)-d,3,left,0,239859
+d)a-(b+c)(,2,right,0,243901
((a-c)+d)-b,3,left,0,247934
d-(b+(a-c)),3,right,0,252186
b-(c+(d+a)),3,right,0,256188
a(-)+d+)b(c,0,none,0,260071
a+(b-(c-d)),3,right,0,263967
a)b+)((c--d,0,none,0,268117
b)a-c(+)(d+,1,left,0,272084
a)d-b(++c(),1,left,0,275988
a)-c)+d((b-,0,none,0,280095
@)b-c(a+(-d,1,left,1,284087
)(d-a)+b(-c,2,left,0,288069
)(d+c)-b(+a,2,left,0,291956
-b+())a+c(d,1,right,0,295776
d)+b)(--c(a,0,none,0,300231
-a)d(()c++b,0,none,0,304061
d-)a+(c-b)(,2,right,0,307781
c-))+-@(b(d,0,none,1,311893
+-c())a+d(b,1,right,0,316037
)@b-d)+a(c-,2,left,1,319766
c+(d-(a-b)),3,right,0,323763
-d)c+(a-b)(,2,right,0,328070
-+()a)b+c(d,1,right,0,332088
c-(d+(a-b)),3,right,0,335922
((a-b)+c)+d,3,left,0,339767
)(a-d)+c(-b,2,left,0,343892
-d)+(b-)a(c,0,none,0,347942
a)d-b(++c)(,1,left,0,351928
b)c-a()+d(+,1,left,0,355847
b-(c+(d+a)),3,right,0,360249
c()b-(+-a)d,0,none,0,364188
((c+d)-a)+b,3,left,0,367985
((c-a)+b)-d,3,left,0,372114
a+(b-(c-d)),3,right,0,376248
((b+a)-c)+d,3,left,0,379900
a)d)+(b-+c(,0,none,0,383790
@(d+a)-c(+b,2,left,1,388015
a-(c+(b+d)),3,right,0,391858
)(c+d)-a(+b,2,left,0,395969
((d-a)+b)-c,3,left,0,399845
c+(d-(b+a)),3,right,0,404211
)(b+c)-d(a-,2,left,0,408116
+d)a-(c+b)(,2,right,0,412120
d+)b--a)((c,0,none,0,415813
-)c++a)(d(b,0,none,0,419765
c)a+d()-(-b,1,left,0,424181
a(-)c)d+b(-,1,right,0,427781
)(a-b)+c(d-,2,left,0,432016
(+-d))b-a(c,1,right,0,435939
-c)d+(a-b)(,2,right,0,439760
a-(b+(c+d)),3,right,0,444202
-()+a)d-b(c,1,right,0,448086
)(b-a)+d(c-,2,left,0,452108
)(b-a)+d(c+,2,left,0,455990
((d+c)-b)+a,3,left,0,459879
+d))(c-+b(a,0,none,0,464204
((d-c)+a)+b,3,left,0,467887
)(b-d)+c(+a,2,left,0,472118
-c(+))d-b(a,1,right,0,476112
a-+b)d)(+(c,0,none,0,480075
c)d+b()-(+a,1,left,0,484047
-c)b@(d-a)(,2,right,1,488045
a)@b)d((-c+,0,none,1,492235
c+(b-(d+a)),3,right,0,496037
d+(a-(b-c)),3,right,0,499834
b-(+(c+)d)a,0,none,0,503774
a-)b+(c-d)(,2,right,0,508081
b+)d-(a+c)(,2,right,0,511943
+c)b-(d+a)(,2,right,0,515817
d()b-+c)-a(,0,none,0,519851
((b-a)+d)+c,3,left,0,523805
d@)+-)b-c(a,1,right,1,528058
d-(a+(b+c)),3,right,0,531984
((a-b)+c)+d,3,left,0,536027
b+(c-(d+a)),3,right,0,540141
((b@d)-a)+c,3,left,1,544041
(-b+))c+a(d,1,right,0,547789
a+-d))b-c((,1,right,0,551993
b-(d+(a-c)),3,right,0,556150
)d)a-(b+-c(,0,none,0,559924
)(a+b)-d(+c,2,left,0,563777
c)(+-)d+b(a,1,right,0,568183
((b+d)-c)-a,3,left,0,571996
a-)c+(b-d)(,2,right,0,576186
b)c(-++)a(d,0,none,0,579857
a)c+d((-)b-,1,left,0,583969
d)-+b)a-c((,1,right,0,587955
d)-)+-a(c(b,0,none,0,592103
)(c-d)+a(+b,2,left,0,595978
((b+c)-d)-a,3,left,0,599983
c)a-d()++(b,1,left,0,604077
-b)d+(c+a)(,2,right,0,608018
b-)d+(a-c)(,2,right,0,612036
@)a+d((-+b),1,left,1,615964
+a()c)b(d-+,0,none,0,619781
))d+b(c-(-a,1,left,0,623989
+d-)c)(b(-a,0,none,0,628191
)-+d()b+c(a,1,right,0,632015
d+)a-(b+c)(,2,right,0,635866
)(a@+)d+b(c,1,right,1,640198
