prime,target,primeCategory,targetCategory,detectionTask,onset
sin(a)-b,cos(x*y),1,3,0,3984
@-tan(a),sin(x)+y,2,1,1,7764
cos(a)+b,log(x*y),1,3,0,12228
b)(cos,x)(log,7,7,0,16148
log(a),tan(y),4,4,0,19778
y)log*x(,a)cos+b(,6,6,0,24014
log(x-y),cos(b*a),3,3,0,27858
tan(b)-a,lo@(x+y),1,3,1,31998
y)(tan,a)(cos,7,7,0,35782
log(y),(a+b),4,5,0,39983
a)(log,x)(sin,7,7,0,43980
(a-b@,(y*x),5,5,1,48249
a)cos-b(,x)tan*y(,6,6,0,52216
a)(log,y)(tan,7,7,0,55766
(y-x),cos(a),5,4,0,60124
log(a),cos@y),4,4,1,63818
y)(tan,b)(cos,7,7,0,67830
log(x*y),b+cos(a),3,2,0,71821
sin(a)-b,cos(x)*y,1,1,0,76099
cos(x*y),sin(a)-b,3,1,0,79810
tan(a)*b,y-sin(x),1,2,0,84054
log(x*y),cos(b+a),3,3,0,88138
tan(a)*b,cos(y)-x,1,1,0,91763
x-log(y),cos(b*a),2,3,0,96056
x)tan*y(,a)cos-b(,6,6,0,100068
(x*y),(b-a),5,5,0,104128
tan(b),(y-x),4,5,0,107926
cos(a)+b,log(x)*y,1,1,0,111895
tan(@-b),y+sin(x),3,2,1,115991
a*tan(b),y-sin(x),2,2,0,120185
cos(a+b),y*sin(x),3,2,0,123801
b*log(a),sin(x)+y,2,1,0,128142
(a+b),log(y),5,4,0,131947
(b+a),cos(y),5,4,0,136045
a)(sin,y)(cos,7,7,0,140070
log(x)+y,sin(a)-b,1,1,0,144060
cos(y-x),tan(a*b),3,3,0,148046
x*log(y),cos(b+a),2,3,0,152121
sin(y*x),a+cos(b),3,2,0,155807
log(x)*y,cos(a)+b,1,1,0,159861
(x-y),sin(b),5,4,0,164023
log(a),(y+x),4,5,0,167784
y)(cos,a)(sin,7,7,0,172140
(b*a),(x-y),5,5,0,176115
x)sin*y(,b)tan-a(,6,6,0,180070
cos(x)*y,sin(a-b),1,3,0,184156
x+sin(y),b*log(a),2,2,0,188067
y-sin(x),tan(a)*b,2,1,0,192028
tan(b)@a,sin(x)+y,1,1,1,195896
cos(y),tan(b),4,4,0,200042
