prime,target,primeCategory,targetCategory,detectionTask,onset
a*log(b),x+sin(y),2,2,0,3971
y)(sin,a)(tan,7,7,0,8011
log(y),(a+b),4,5,0,12145
tan(x-y),cos(b*a),3,3,0,16204
(y*x),(a+b),5,5,0,19873
a)(tan,y)(sin,7,7,0,24125
log(b),(x-y),4,5,0,27799
x-tan(y),cos(b*a),2,3,0,31941
y)(log,a)(tan,7,7,0,36086
y)tan*x(,b)sin+a(,6,6,0,39869
b*cos(a),y+tan(x),2,2,0,43924
y)tan*x(,b)sin-a(,6,6,0,48177
a)(tan,y)(cos,7,7,0,51821
(a*b),(x+y),5,5,0,56200
y)x(*,a)b(+,8,8,0,59865
y)x(-,a)b(*,8,8,0,63861
(a+b),(y*x),5,5,0,68221
x)y(-,b)a(+,8,8,0,71848
sin(a),cos(x),4,4,0,76039
b@cos(a),log(y)-x,2,1,1,80231
(x-y),(b*a),5,5,0,83779
(x-y),log(b),5,4,0,88233
cos(b*a),x-tan(y),3,2,0,91892
a-tan(b),cos(x*y),2,3,0,95917
sin(x),log(b),4,4,0,100247
tan(a),log(x),4,4,0,103901
b)(cos,x)(t@n,7,7,1,108100
(y*x),cos(a),5,4,0,111764
tan(y),(b-a),4,5,0,116090
(a-b),(y@x),5,5,1,119950
a+log(b),x@tan(y),2,2,1,124130
a)(log,y)(sin,7,7,0,128139
tan(b-a),log(x)*y,3,1,0,131844
a*log(b),sin(x)+y,2,1,0,136077
log(x)*y,tan(b-a),1,3,0,139877
cos(y)+x,tan(a-b),1,3,0,144079
s@n(a-b),x+tan(y),3,2,1,148070
y)log+x(,b)tan-a(,6,6,0,151954
log(x),tan(a),4,4,0,155852
y*sin(x),log(b)-a,2,1,0,160065
cos(a),(y*x),4,5,0,164004
cos(y)+x,tan(a)-b,1,1,0,167986
(a*b),log(x),5,4,0,172193
log(y),cos(a),4,4,0,176005
log(b),sin(x),4,4,0,180009
a)(lo@,x)(sin,7,7,1,183920
(x+y),(a-b),5,5,0,188118
cos(x),(a-b),4,5,0,192229
(a-b),(x+y),5,5,0,195905
cos(a)*b,si@(y)-x,1,1,1,200212
cos(y)*x,tan(b-a),1,3,0,203853
(a+b),log(y),5,4,0,207998
log(b),tan(y),4,4,0,211996
y)tan*x(,b)cos-a(,6,6,0,216044
(b*a),(x-y),5,5,0,219850
log(x),(a*b),4,5,0,224098
b-log(a),y*sin(x),2,2,0,228160
tan(a)-b,cos(y+x),1,3,0,232244
cos(y+x),tan(a)-b,3,1,0,235885
b*cos(a),tan(x-y),2,3,0,239801
(a*b),(y-x),5,5,0,243856
cos(b*a),y+tan(x),3,2,0,248192
sin(a),(x+y),4,5,0,252143
tan(b-a),cos(y)*x,3,1,0,256146
log(x)*y,tan(b)-a,1,1,0,260030
(x+y),sin(a),5,4,0,263984
tan(b)-a,cos(y*x),1,3,0,268226
(y*x),log(b),5,4,0,272052
sin(x)+y,log(a)*b,1,1,0,275774
b)a(+,x)y(-,8,8,0,279899
cos(x*y),a-tan(b),3,2,0,283754
tan(x-y),b*cos(a),3,2,0,287796
(y-x),(a*b),5,5,0,292200
cos(a@*b,y-sin(x),1,2,1,296234
y)log*x(,a)sin+b(,6,6,0,300034
sin(x)+y,a*log(b),1,2,0,304230
log(y),tan(a),4,4,0,307999
b)cos+a(,x)t@n*y(,6,6,1,311805
a)b(*,y)x(-,8,8,0,315845
tan(a)-b,cos(y)+x,1,1,0,320245
b*cos(a),tan(y+x),2,3,0,324038
b)a(*,x)y(-,8,8,0,328221
tan(a),(y-x),4,5,0,331821
b*c@s(a),y-log(x),2,2,1,336235
log(b)-a,sin(y)*x,1,1,0,339763
tan(y+x),cos(b*a),3,3,0,344061
tan(y+x),b*cos(a),3,2,0,347949
cos(y*x),tan(b)-a,3,1,0,352173
tan(a-b),cos(y)+x,3,1,0,355812
x)y(*,b)a(+,8,8,0,360239
tan(a),(x+y),4,5,0,364017
x)y(-,a)b(*,8,8,0,368156
(y-x),tan(a),5,4,0,371938
tan(a-b),cos(y+x),3,3,0,376055
x+sin(y),log(a)*b,2,1,0,379996
log(b),(y*x),4,5,0,383868
b)log*a(,x)cos+y(,6,6,0,388181
ta@(a),sin(y),4,4,1,392020
tan(a)-b,y+cos(x),1,2,0,396034
x-tan(y),b*cos(a),2,2,0,400138
b)cos-a(,y)tan*x(,6,6,0,404118
log(a+b),@an(x*y),3,3,1,408087
x)(sin,b)(cos,7,7,0,411800
x)y(-,b)a(*,8,8,0,415899
a)b(+,y)x(*,8,8,0,419935
tan(a)-b,cos(y)+x,1,1,0,424058
cos(x),sin(a),4,4,0,427873
x*cos(y),a-tan(b),2,2,0,432050
cos(y)+x,a-tan(b),1,2,0,435987
a)(tan,y)(log,7,7,0,440068
y)(sin,a)(log,7,7,0,444023
log(a)*b,x+sin(y),1,2,0,448019
y+tan(x),b*cos(a),2,2,0,452004
l@g(a)+b,cos(x-y),1,3,1,456051
b)(cos,x)(sin,7,7,0,460149
y+cos(x),a-tan(b),2,2,0,464222
a-tan(b),cos(y)+x,2,1,0,468186
y+tan(x),cos(b*a),2,3,0,471757
(b-a),(y*x),5,5,0,476007
cos(x*y),tan(a-b),3,3,0,480131
(b*a),sin(x),5,4,0,484139
log(a+b),x*tan(y@,3,2,1,487819
x)cos+y(,b)log*a(,6,6,0,492232
log(x*y),tan(b)-a,3,1,0,495784
tan(b-a),cos(y*x),3,3,0,499890
cos(y+x),tan(a-b),3,3,0,504246
y+cos(x),tan(a)-b,2,1,0,507800
log(x*y),tan(b-a),3,3,0,511952
tan(a-b),cos(x*y),3,3,0,515889
tan(a-b),x*cos(y),3,2,0,520238
