prime,target,primeCategory,targetCategory,detectionTask,onset
y*sin(x),b-log(a),2,2,0,523964
(b-a),tan(y),5,4,0,527836
a)(tan,y)(log,7,7,0,531901
tan(y),log(b),4,4,0,536111
y)(cos,a)(tan,7,7,0,539799
a)b(*,x)y(-,8,8,0,544182
b)sin-a(,y)tan*x(,6,6,0,548029
(a*b),log(y),5,4,0,551895
log(b)-a,y*sin(x),1,2,0,555892
sin(x),(b*a),4,5,0,559864
sin(y)*x,b-log(a),1,2,0,563779
a-tan(b),y+cos(x),2,2,0,567992
tan(b)-a,log(x*y),1,3,0,572128
(x+y),(a*b),5,5,0,576155
(@-b),sin(x),5,4,1,579777
b-log(a),sin(y)*x,2,1,0,584232
b)a(+,x)y(*,8,8,0,588106
b)tan-a(,y)log+x(,6,6,0,592110
b)sin+a(,y)tan*x(,6,6,0,596241
y)(log,a)(tan,7,7,0,600204
(a@b),tan(y),5,4,1,604057
tan(a),log(y),4,4,0,608248
sin(y)*x,log(b)-a,1,1,0,611887
a-tan(b),x*cos(y),2,2,0,616112
log(a)*b,sin(x)+y,1,1,0,619984
cos(y)*x,tan(b)-a,1,1,0,623882
log(b)-a,tan(y)*@,1,1,1,627864
b*cos(a),x-tan(y),2,2,0,632017
sin(a),(y*@),4,5,1,636068
tan(b)-a,log(x)*y,1,1,0,640085
cos(b*a),tan(x-y),3,3,0,643799
cos(y*x),tan(b-a),3,3,0,648071
tan(b-a),log(x*y),3,3,0,652131
x*cos(y),tan(a-b),2,3,0,655982
(y*x),(b-a),5,5,0,660014
cos(a),log(y),4,4,0,664017
cos(b*a),tan(y+x),3,3,0,667874
(a-b),cos(x),5,4,0,671851
a)@log,x)(sin,7,7,1,676030
a)sin+b(,y)log*x(,6,6,0,680051
(x+y),tan(a),5,4,0,684241
log(y),(a*b),4,5,0,688247
cos(y)+x,tan(a)-b,1,1,0,692242
tan(b)-a,cos(y)*x,1,1,0,695927
sin(a),tan(y@,4,4,1,699886
x+sin(y),a*log(b),2,2,0,703939
