Weight	Nested	Procedure	Level1	BranchSide	Symbol1	Symbol2	Symbol3	Symbol4	Symbol5	Symbol6	Symbol7	Symbol8	Symbol9	Symbol10	Symbol11	TaskExpression	TaskAns	Level2	NonmatchN	Trigger
1		stimproc	0	B	+	}	1	)	2	+	(	4	{	3	-	+)1}2+(4{3-	1	0	2	184
1		stimproc	2	R	3	+	}	4	-	(	2	+	1	)	{	3+}4){2(1+-	1	0	5	162
1		stimproc	1	R	{	+	}	+	2	)	3	-	4	(	1	{+}+4)3-1(2	1	1	3	164
1		stimproc	3	R	1	+	{	2	+	(	3	-	4	)	}	1+{}3)2-4(+	1	1	6	161
1		stimproc	0	B	4	+	}	)	+	1	(	2	-	{	3	4+}(1+2)-3{	1	2	7	184
1		stimproc	2	R	3	-	}	2	+	(	4	+	1	)	{	3-}4+(2+1){	1	2	2	162
1		stimproc	1	R	1	-	+	4	}	)	2	+	3	(	{	1-{4+(2+3)}	1	3	5	164
1		stimproc	3	R	4	+	{	1	-	(	2	+	3	)	}	4+{1+(2-3)}	1	3	2	161
1		stimproc	0	B	}	2	)	3	+	(	{	4	-	+	1	}2)3+(+4{-1	1	0	3	184
1		stimproc	2	L	}	(	1	-	3	)	+	4	{	+	2	}1)3+(+4{-2	1	0	6	146
1		stimproc	1	L	1	)	2	+	3	(	+	}	4	-	{	1)2+4(-+}3{	1	1	5	148
1		stimproc	3	L	{	(	2	+	3	)	-	1	}	+	4	{)2+1(}3-+4	1	1	6	145
1		stimproc	0	B	{	2	-	+	1	)	3	}	(	+	4	}2-(1+3){+4	1	2	5	184
1		stimproc	2	L	}	(	2	-	1	)	+	3	{	+	4	}(1-2)+3{+4	1	2	2	146
1		stimproc	1	L	2	)	3	+	1	(	{	+	-	4	}	2+{(1+3)-4}	1	3	6	148
1		stimproc	3	L	{	(	3	+	1	)	-	4	}	+	2	{(3-1)+4}+2	1	3	2	145
1		stimproc	0	B	4	)	1	}	+	3	(	+	2	{	-	4)1}+3(+2{-	2	0	0	120
1		stimproc	1	R	1	+	{	}	3	)	2	-	4	(	+	1+{}3)2-4(+	2	1	0	100
1		stimproc	2	R	+	3	}	1	+	(	2	-	4	)	{	+3}1+(2-4){	2	2	0	98
1		stimproc	3	R	3	+	{	1	+	(	2	-	4	)	}	3+{1+(2-4)}	2	3	0	97
1		stimproc	0	B	1	{	+	(	3	+	}	2	)	-	4	1{+(3+}2)-4	2	0	0	120
1		stimproc	1	L	3	)	1	-	2	(	+	{	}	4	+	3)1-2(+{}4+	2	1	0	84
1		stimproc	2	L	}	(	1	-	2	)	+	4	{	3	+	}(1-2)+4{3+	2	2	0	82
1		stimproc	3	L	{	(	1	-	2	)	+	4	}	+	3	{(1-2)+4}+3	2	3	0	81
1		stimproc	0	B	-	3	)	4	}	2	(	+	1	+	{	-3)4}2(+1+{	2	0	0	120
1		stimproc	1	L	4	)	2	-	1	(	{	+	}	3	+	4)2-1({+}3+	2	1	0	84
1		stimproc	2	L	}	(	2	-	1	)	+	4	{	3	+	}(2-1)+4{3+	2	2	0	82
1		stimproc	3	L	{	(	2	-	1	)	+	4	}	+	3	{(2-1)+4}+3	2	3	0	81
1		stimproc	0	B	3	)	2	}	{	+	4	(	-	+	1	3)2}{+4(-+1	2	0	0	120
1		stimproc	1	R	+	{	}	2	+	)	4	-	1	(	3	+{}2+)4-1(3	2	1	0	100
1		stimproc	2	R	+	2	}	3	+	(	4	-	1	)	{	+2}3+(4-1){	2	2	0	98
1		stimproc	3	R	2	+	{	3	+	(	4	-	1	)	}	2+{3+(4-1)}	2	3	0	97
