prime,target,primeCategory,targetCategory,detectionTask,onset
cos(b+a),tan(y)-x,3,1,0,592104
tan(a+b),log(x*y),3,3,0,595844
b-cos(a),x*log(y),2,2,0,600156
cos(b),(x-y),4,5,0,604164
tan(x),log(b),4,4,0,608214
tan(a),cos(y),4,4,0,612170
a)(tan,x)(lo@,7,7,1,615932
x-sin(y),tan(a+b),2,3,0,620107
tan(y-x),cos(b+a),3,3,0,623891
a*tan(b@,y+cos(x),2,2,1,627783
a*tan(b),x-cos(y),2,2,0,631934
(b*a),sin(y),5,4,0,636123
tan(a+b),log(x)*y,3,1,0,640210
tan(a+b),sin(x-y),3,3,0,643766
b-cos(a),log(x)*y,2,1,0,647860
cos(b),log(x),4,4,0,651796
(y+x),sin(b),5,4,0,656188
a)b(+,x@y(*,8,8,1,659937
y+tan(x),log(a)*b,2,1,0,664060
a+tan(b@,x-sin(y),2,2,1,668191
a)(si@,y)(cos,7,7,1,671919
log(x*y),cos(b+a),3,3,0,675842
y)(cos,b)(tan,7,7,0,680165
cos(y),tan(a),4,4,0,684145
a*sin(b),x+tan(y),2,2,0,687766
log(x),(b*a),4,5,0,692115
log(a)*b,y+tan(x),1,2,0,696078
(y*x),log(b),5,4,0,700213
x*log(y),b-cos(a),2,2,0,703776
