prime,target,primeCategory,targetCategory,detectionTask,onset
x)y(-,b)a(+,8,8,0,359762
tan(b),log(y),4,4,0,364083
tan(x),cos(a),4,4,0,368159
cos(a-b),tan(y+x),3,3,0,372207
log(b@a),y+sin(x),3,2,1,376248
x+tan(y),b*cos(a),2,2,0,380101
a)(log,y)(@os,7,7,1,384084
sin(b)+a,tan(y)-x,1,1,0,388008
log(y),sin(b),4,4,0,392238
a+cos(b),tan(y)*x,2,1,0,396034
sin(b),tan(y),4,4,0,399887
(a*b),(x-y),5,5,0,403895
(x+y),(b*a),5,5,0,408207
a)(cos,y)(sin,7,7,0,412141
y)cos+x(,b)tan*a(,6,6,0,416063
cos(a-b),y+tan(x),3,2,0,420064
tan(a)*b,log(x)-y,1,1,0,423768
@)log-a(,y)sin*x(,6,6,1,427997
x)(sin,b)(log,7,7,0,431975
b*cos(a),tan(x)+y,2,1,0,436112
sin(a+b),cos(x*y),3,3,0,439955
cos(a),(x+y),4,5,0,444173
x)cos-y(,a)tan+b(,6,6,0,448082
log(y)+x,tan(a)-b,1,1,0,452221
tan@a),(y+x),4,5,1,455925
tan(b-a),x*sin(y),3,2,0,459769
tan(b+a),cos(y@x),3,3,1,464041
tan(x-y),a*log(b),3,2,0,467922
b)a(*,x)y(-,8,8,0,472200
b)tan*a(,y)sin-x(,6,6,0,475901
tan(y-x),sin(b)+a,3,1,0,479781
(a*b),log(x),5,4,0,483917
a-cos(b),x@tan(y),2,2,1,487828
tan(y-x),sin(b+a),3,3,0,491775
x-tan(y),log(a*b),2,3,0,495803
a)(tan,y)(log,7,7,0,499875
tan(b-a),sin(x*y),3,3,0,504110
cos(a)+b,y*tan(x),1,2,0,507761
sin(b+a),tan(y-x),3,3,0,511862
y)sin-x(,b)tan*a(,6,6,0,515881
tan(x-y),log(a*b),3,3,0,519984
(x+y),sin(b),5,4,0,523938
(b*a),tan(y),5,4,0,528196
y)(tan,a)(log,7,7,0,531930
(b-a),(y+x),5,5,0,535803
cos(x)*y,sin(a)+b,1,1,0,540208
y*tan(x),cos(a)+b,2,1,0,543830
tan(a)*b,x-log(y),1,2,0,547956
cos(a)*b,log(y-x@,1,3,1,552119
log(a),(y*@),4,5,1,555821
y*tan(x),a+cos(b),2,2,0,560118
b)log+a(,y)cos-x(,6,6,0,563949
a-cos(b),ta@(x)+y,2,1,1,567887
log(x)-y,tan(a)*b,1,1,0,572132
(y+x),(b-a),5,5,0,576112
x-log(y),tan(a)*b,2,1,0,579806
x-log(y),a*tan(b),2,2,0,584043
cos(x*y),sin(a)+b,3,1,0,587998
sin(x*y),b-tan(a),3,2,0,592173
x)y(-,b)a(*,8,8,0,595892
cos(b)*a,x+tan(y),1,2,0,599810
a)(cos,y)(log,7,7,0,603796
sin(b),tan@y),4,4,1,608040
sin(b)+a,tan(y-x),1,3,0,612109
(b-a),log(y),5,4,0,615930
b)(log,x)(sin,7,7,0,620147
a)b(*,y)x(-,8,8,0,623871
log(y),(b-a),4,5,0,628171
tan(y)*x,a+cos(b),1,2,0,632216
cos(x)*y,sin(a+b),1,3,0,635811
(a-b),tan(x),5,4,0,639868
(y+x),sin(b),5,4,0,644146
(x+y),cos(a),5,4,0,647868
cos(a),tan(x),4,4,0,651930
sin(b),(y+x),4,5,0,656249
(y+x),sin(b),5,4,0,659815
log(y),tan(b),4,4,0,663882
cos(b)*a,tan(x)+y,1,1,0,667835
sin(b),log(x),4,4,0,671836
a-cos(b),tan(y+x),2,3,0,675767
(b*a),(y+x),5,5,0,680193
(a-b),(x+y),5,5,0,684142
tan(y)-x,sin(b)+a,1,1,0,688105
y+tan(x),a-cos(b),2,2,0,692022
cos(x*y),sin(a+b),3,3,0,696168
tan(a)-b,log(y+x),1,3,0,700069
x-tan(y),a*log(b),2,2,0,704166
