prime,target,primeCategory,targetCategory,detectionTask,onset
b)a(-,y)x(+,8,8,0,3930
(y*x),tan(b),5,4,0,8044
y)(sin,a)(cos,7,7,0,12019
a*log(b),tan(x-y),2,3,0,15917
tan(a-b),log(y)+x,3,1,0,19885
log(y),(b-a),4,5,0,23769
y)cos*x(,b)sin-a(,6,6,0,27769
(b*a),(x+y),5,5,0,32117
y)x(-,a)b(*,8,8,0,35888
cos(a+b),y*tan@x),3,2,1,40136
a)(log,y)(tan,7,7,0,44033
@)log+b(,y)tan*x(,6,6,1,47871
tan(y),(b*a),4,5,0,52180
y)x(*,b)a(-,8,8,0,56198
y)cos-x(,b)log+a(,6,6,0,60002
cos(a)*@,log(y)-x,1,1,1,63797
x*sin(y),tan(b-a),2,3,0,67933
(b-a),(y*x),5,5,0,72241
sin(a),log(x),4,4,0,75907
x)y(+,b)a(*,8,8,0,80020
a-l@g(b),x*cos(y),2,2,1,83974
(b*a),log(x),5,4,0,87760
a*tan(b),log(x)-y,2,1,0,91867
(x-y),sin(a),5,4,0,95971
x+tan(y),cos(b)*a,2,1,0,100143
log(x),(a*b),4,5,0,103968
b*cos(a),x+tan(y),2,2,0,108028
log(y)+x,tan(a-b),1,3,0,111998
(x-y),(a*b),5,5,0,116167
log(a*b),x-tan(y),3,2,0,119878
cos(a)+b,tan(y)*x,1,1,0,123779
tan(b@+a,cos(y*x),1,3,1,128168
b)a(*,x)y(+,8,8,0,131932
log(x),sin(a),4,4,0,136120
a)(cos,x)(sin,7,7,0,140189
sin(b+a),tan(y)-x,3,1,0,144169
sin(a),(x-y),4,5,0,147946
sin(a)+b,cos(x)*y,1,1,0,152058
tan(y)*x,cos(a)+b,1,1,0,156247
tan(a-b),log(y+x),3,3,0,160138
tan(y+x),cos(a-b),3,3,0,164072
a+cos(b),y*tan(x),2,2,0,168238
ta@(b+a),cos(y)*x,3,1,1,172201
a)tan*b(,x)cos-y(,6,6,0,176199
b-tan(a),x*sin(y),2,2,0,180006
log(y+x),tan(a-b),3,3,0,183924
sin(b),log@y),4,4,1,187885
log(x),sin(b),4,4,0,191898
sin(a)+b,cos(x*y),1,3,0,195792
tan(y+x),a-cos(b),3,2,0,200055
a)tan+b(,x)cos-y(,6,6,0,203848
tan(x)+y,cos(b)*a,1,1,0,208197
log(x)-y,a*tan(b),1,2,0,211881
(y*x),(b-a),5,5,0,216067
log(x),(b*a),4,5,0,219873
(y+x),(b*a),5,5,0,224024
b)a(+,x)y(-,8,8,0,227882
b)a(-,y)x(*,8,8,0,232171
b)tan*a(,y)cos+x(,6,6,0,236113
(a*@),(y+x),5,5,1,240143
a*tan(b),x-log(y),2,2,0,244213
tan(x),(a-b),4,5,0,247991
sin(b),(y+x),4,5,0,251775
(b-a),log(y),5,4,0,255878
tan(x)+y,b*cos(a),1,2,0,259779
y)(log,a)(tan,7,7,0,263826
(x+y),(a-b),5,5,0,268068
tan(a)-b,log(y)+x,1,1,0,272108
sin(a+b),cos(x)*y,3,1,0,276064
log(a),tan(@),4,4,1,279874
log(a*b),tan(x-y),3,3,0,284155
tan(y),sin(b),4,4,0,287987
sin(x*y),tan(b-a),3,3,0,291944
y)x(+,b)a(-,8,8,0,296211
tan(y)-x,sin(b+a),1,3,0,299810
b)sin-a(,y)cos*x(,6,6,0,303812
b-tan(a),sin(x*y),2,3,0,308062
x)cos-y(,a)tan*b(,6,6,0,312098
tan(b),(y*x),4,5,0,315991
a*log(b),x-tan(y),2,2,0,320023
x)(sin,a)(cos,7,7,0,324223
log(y+x),tan(a)-b,3,1,0,328151
c@s(a*b),log(y)-x,3,1,1,332075
sin(b),log(y),4,4,0,335827
sin(b),(x+y),4,5,0,339866
y)(log,a)(cos,7,7,0,344034
x*sin(y),b-tan(a),2,2,0,348030
a-cos(b),y+tan(x),2,2,0,351978
y+tan(x),cos(a-b),2,3,0,355851
